resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
9484,407,117,1,1,1,1,"1",1,9,78,"1:55:41.060",6941060,\N,\N,\N,\N,1
9485,407,177,1,2,9,2,"2",2,6,78,"+25.022",6966082,\N,\N,\N,\N,1
9486,407,102,32,12,3,3,"3",3,4,78,"+53.646",6994706,\N,\N,\N,\N,1
9487,407,95,3,5,2,4,"4",4,3,78,"+1:11.402",7012462,\N,\N,\N,\N,1
9488,407,163,27,25,12,5,"5",5,2,77,\N,\N,\N,\N,\N,\N,11
9489,407,172,27,26,7,6,"6",6,1,77,\N,\N,\N,\N,\N,\N,11
9490,407,137,3,6,11,7,"7",7,0,77,\N,\N,\N,\N,\N,\N,11
9491,407,123,21,18,14,8,"8",8,0,75,\N,\N,\N,\N,\N,\N,13
9492,407,176,21,17,17,9,"9",9,0,75,\N,\N,\N,\N,\N,\N,13
9493,407,140,6,28,15,10,"10",10,0,75,\N,\N,\N,\N,\N,\N,13
9494,407,166,25,4,13,11,"11",11,0,74,\N,\N,\N,\N,\N,\N,14
9495,407,156,49,14,19,12,"12",12,0,74,\N,\N,\N,\N,\N,\N,14
9496,407,84,25,3,10,\N,"R",13,0,67,\N,\N,\N,\N,\N,\N,3
9497,407,175,26,16,8,\N,"R",14,0,67,\N,\N,\N,\N,\N,\N,3
9498,407,77,22,20,5,\N,"R",15,0,42,\N,\N,\N,\N,\N,\N,38
9499,407,119,34,7,6,\N,"R",16,0,38,\N,\N,\N,\N,\N,\N,48
9500,407,105,6,27,4,\N,"R",17,0,38,\N,\N,\N,\N,\N,\N,101
9501,407,173,34,8,20,\N,"R",18,0,31,\N,\N,\N,\N,\N,\N,5
9502,407,170,22,19,16,\N,"R",19,0,17,\N,\N,\N,\N,\N,\N,23
9503,407,178,26,15,18,\N,"R",20,0,2,\N,\N,\N,\N,\N,\N,3
9504,407,160,45,21,0,\N,"F",21,0,0,\N,\N,\N,\N,\N,\N,81
9505,407,174,32,11,0,\N,"F",22,0,0,\N,\N,\N,\N,\N,\N,81
9506,407,179,49,29,0,\N,"F",23,0,0,\N,\N,\N,\N,\N,\N,81
9507,407,157,45,22,0,\N,"F",24,0,0,\N,\N,\N,\N,\N,\N,81
9508,407,110,18,23,0,\N,"F",25,0,0,\N,\N,\N,\N,\N,\N,81
9065,391,102,32,12,2,1,"1",1,9,78,"1:57:54.085",7074085,\N,\N,\N,\N,1
9066,391,137,3,6,3,2,"2",2,6,78,"+33.212",7107297,\N,\N,\N,\N,1
9067,391,105,6,27,5,3,"3",3,4,78,"+1:12.839",7146924,\N,\N,\N,\N,1
9068,391,77,6,28,8,4,"4",4,3,77,\N,\N,\N,\N,\N,\N,11
9069,391,156,25,3,15,5,"5",5,2,76,\N,\N,\N,\N,\N,\N,12
9070,391,122,37,16,19,6,"6",6,1,76,\N,\N,\N,\N,\N,\N,12
9071,391,84,49,9,14,7,"7",7,0,76,\N,\N,\N,\N,\N,\N,12
9072,391,170,22,19,12,8,"8",8,0,76,\N,\N,\N,\N,\N,\N,12
9073,391,117,1,1,4,9,"9",9,0,75,\N,\N,\N,\N,\N,\N,5
9074,391,138,32,11,17,10,"10",10,0,75,\N,\N,\N,\N,\N,\N,13
9075,391,163,27,25,22,11,"11",11,0,74,\N,\N,\N,\N,\N,\N,14
9076,391,160,27,26,20,12,"12",12,0,74,\N,\N,\N,\N,\N,\N,14
9077,391,169,39,14,24,13,"13",13,0,71,\N,\N,\N,\N,\N,\N,17
9078,391,158,21,18,6,\N,"R",14,0,59,\N,\N,\N,\N,\N,\N,25
9079,391,118,21,17,11,\N,"R",15,0,58,\N,\N,\N,\N,\N,\N,6
9080,391,140,1,2,7,\N,"R",16,0,57,\N,\N,\N,\N,\N,\N,5
9081,391,112,33,30,18,\N,"R",17,0,42,\N,\N,\N,\N,\N,\N,5
9082,391,119,34,7,10,\N,"R",18,0,41,\N,\N,\N,\N,\N,\N,10
9083,391,133,45,21,16,\N,"R",19,0,39,\N,\N,\N,\N,\N,\N,10
9084,391,110,34,8,21,\N,"R",20,0,38,\N,\N,\N,\N,\N,\N,22
9085,391,95,3,5,1,\N,"R",21,0,29,\N,\N,\N,\N,\N,\N,101
9086,391,145,18,24,13,\N,"R",22,0,21,\N,\N,\N,\N,\N,\N,10
9087,391,166,25,4,23,\N,"R",23,0,9,\N,\N,\N,\N,\N,\N,3
9088,391,123,22,20,9,\N,"R",24,0,5,\N,\N,\N,\N,\N,\N,7
9089,391,167,18,23,0,\N,"W",25,0,0,\N,\N,\N,\N,\N,\N,54
9090,391,157,49,10,0,\N,"E",26,0,0,\N,\N,\N,\N,\N,\N,96
8555,374,117,1,11,2,1,"1",1,9,78,"1:57:17.077",7037077,\N,\N,\N,\N,1
8556,374,77,6,28,3,2,"2",2,6,78,"+20.453",7057530,\N,\N,\N,\N,1
8557,374,105,6,27,4,3,"3",3,4,78,"+41.229",7078306,\N,\N,\N,\N,1
8558,374,118,21,17,7,4,"4",4,3,77,\N,\N,\N,\N,\N,\N,11
8559,374,156,25,3,10,5,"5",5,2,77,\N,\N,\N,\N,\N,\N,11
8560,374,119,3,6,8,6,"6",6,1,77,\N,\N,\N,\N,\N,\N,11
8561,374,114,33,29,21,7,"7",7,0,77,\N,\N,\N,\N,\N,\N,11
8562,374,123,22,20,16,8,"8",8,0,76,\N,\N,\N,\N,\N,\N,12
8563,374,78,45,21,25,9,"9",9,0,75,\N,\N,\N,\N,\N,\N,13
8564,374,122,37,16,22,10,"10",10,0,72,\N,\N,\N,\N,\N,\N,16
8565,374,102,1,12,1,\N,"R",11,0,66,\N,\N,\N,\N,\N,\N,20
8566,374,112,33,30,13,\N,"R",12,0,50,\N,\N,\N,\N,\N,\N,4
8567,374,127,37,15,14,\N,"R",13,0,45,\N,\N,\N,\N,\N,\N,69
8568,374,160,49,9,23,\N,"R",14,0,43,\N,\N,\N,\N,\N,\N,6
8569,374,145,22,19,6,\N,"R",15,0,38,\N,\N,\N,\N,\N,\N,6
8570,374,159,18,24,15,\N,"R",16,0,36,\N,\N,\N,\N,\N,\N,86
8571,374,95,3,5,5,\N,"R",17,0,32,\N,\N,\N,\N,\N,\N,4
8572,374,110,48,22,19,\N,"R",18,0,28,\N,\N,\N,\N,\N,\N,5
8573,374,163,27,25,20,\N,"R",19,0,17,\N,\N,\N,\N,\N,\N,5
8574,374,165,44,32,18,\N,"R",20,0,14,\N,\N,\N,\N,\N,\N,23
8575,374,158,21,18,9,\N,"R",21,0,8,\N,\N,\N,\N,\N,\N,5
8576,374,140,27,26,26,\N,"R",22,0,6,\N,\N,\N,\N,\N,\N,5
8577,374,99,42,31,24,\N,"R",23,0,5,\N,\N,\N,\N,\N,\N,22
8578,374,137,32,1,11,\N,"R",24,0,1,\N,\N,\N,\N,\N,\N,4
8579,374,133,35,36,17,\N,"R",25,0,0,\N,\N,\N,\N,\N,\N,20
8580,374,166,39,14,12,\N,"R",26,0,0,\N,\N,\N,\N,\N,\N,37
8581,374,138,32,2,0,\N,"F",27,0,0,\N,\N,\N,\N,\N,\N,81
8582,374,146,49,10,0,\N,"F",28,0,0,\N,\N,\N,\N,\N,\N,81
8583,374,167,18,23,0,\N,"F",29,0,0,\N,\N,\N,\N,\N,\N,81
8584,374,141,25,4,0,\N,"F",30,0,0,\N,\N,\N,\N,\N,\N,81
8585,374,131,44,33,0,\N,"E",31,0,0,\N,\N,\N,\N,\N,\N,96
7951,358,102,1,1,1,1,"1",1,9,77,"1:53:33.251",6813251,\N,\N,\N,\N,1
7952,358,117,1,2,2,2,"2",2,6,77,"+52.529",6865780,\N,\N,\N,\N,1
7953,358,131,34,8,8,3,"3",3,4,76,\N,\N,\N,\N,\N,\N,11
7954,358,133,35,21,9,4,"4",4,3,75,\N,\N,\N,\N,\N,\N,12
7955,358,105,25,4,12,5,"5",5,2,75,\N,\N,\N,\N,\N,\N,12
7956,358,84,34,7,4,6,"6",6,1,75,\N,\N,\N,\N,\N,\N,12
7957,358,158,21,10,20,7,"7",7,0,75,\N,\N,\N,\N,\N,\N,12
7958,358,145,22,19,15,8,"8",8,0,74,\N,\N,\N,\N,\N,\N,13
7959,358,156,25,3,23,9,"9",9,0,74,\N,\N,\N,\N,\N,\N,13
7960,358,123,3,5,3,10,"10",10,0,74,\N,\N,\N,\N,\N,\N,13
7961,358,122,37,16,22,11,"11",11,0,73,\N,\N,\N,\N,\N,\N,14
7962,358,163,27,25,21,12,"12",12,0,73,\N,\N,\N,\N,\N,\N,14
7963,358,110,35,22,10,13,"13",13,0,73,\N,\N,\N,\N,\N,\N,14
7964,358,65,22,20,24,14,"14",14,0,73,\N,\N,\N,\N,\N,\N,14
7965,358,119,3,6,7,15,"15",15,0,73,\N,\N,\N,\N,\N,\N,14
7966,358,159,18,24,26,\N,"R",16,0,48,\N,\N,\N,\N,\N,\N,25
7967,358,99,39,40,13,\N,"R",17,0,46,\N,\N,\N,\N,\N,\N,10
7968,358,90,42,31,25,\N,"R",18,0,44,\N,\N,\N,\N,\N,\N,6
7969,358,112,33,30,17,\N,"R",19,0,38,\N,\N,\N,\N,\N,\N,5
7970,358,127,37,15,14,\N,"R",20,0,36,\N,\N,\N,\N,\N,\N,5
7971,358,137,32,11,19,\N,"R",21,0,32,\N,\N,\N,\N,\N,\N,4
7972,358,95,6,27,5,\N,"R",22,0,30,\N,\N,\N,\N,\N,\N,6
7973,358,162,42,32,18,\N,"R",23,0,19,\N,\N,\N,\N,\N,\N,6
7974,358,129,27,26,16,\N,"R",24,0,4,\N,\N,\N,\N,\N,\N,6
7975,358,94,18,23,11,\N,"R",25,0,3,\N,\N,\N,\N,\N,\N,8
7976,358,118,21,9,6,\N,"R",26,0,2,\N,\N,\N,\N,\N,\N,10
7977,358,157,48,38,0,\N,"F",27,0,0,\N,\N,\N,\N,\N,\N,81
7978,358,114,33,29,0,\N,"F",28,0,0,\N,\N,\N,\N,\N,\N,81
7979,358,138,32,12,0,\N,"F",29,0,0,\N,\N,\N,\N,\N,\N,81
7980,358,160,45,18,0,\N,"F",30,0,0,\N,\N,\N,\N,\N,\N,97
7981,358,140,46,36,0,\N,"F",31,0,0,\N,\N,\N,\N,\N,\N,97
7982,358,78,45,17,0,\N,"F",32,0,0,\N,\N,\N,\N,\N,\N,97
7983,358,146,49,34,0,\N,"F",33,0,0,\N,\N,\N,\N,\N,\N,97
